"","country","power_index","active_personnel","aircraft_carriers","armored_vehicles","attack_helicopters","available_manpower","coastline_coverage","corvettes","dedicated_attack","defense_budget","destroyers","external_debt","fighters_interceptors","fit_for_service","foreign_exchange_gold","frigates","helicopter_carriers","helicopters","labor_force","merchant_marine_fleet","mine_warfare","navy_ships","oil_consumption","oil_production","oil_proven_reserves","paramilitary","patrol_vessels","ports___trade_terminals","purchasing_power_parity","railway_coverage","reaching_mil_age_annually","reserve_personnel","roadway_coverage","rocket_projectors","self_propelled_artillery","shared_borders","special_mission","square_land_area","submarines","tanker_fleet","tanks","total_aircraft_strength","total_population","towed_artillery","trainers","transports","waterways__usable_"
"1","Afghanistan",3.3736,0,0,530,0,14611901,0,0,0,99050000,0,2.84e+08,0,8242611,5e+09,0,0,0,8478000,0,0,0,35000,0,0,60000,0,2,3.6e+10,0,786795,0,34903,13,0,5987,0,652230,0,0,0,0,37466414,60,0,0,1200
"2","Albania",3.0023,8000,0,76,0,1513309,362,0,0,192400000,0,9.311e+09,19,1284768,4e+08,0,0,19,1104000,70,0,19,29000,14000,168300000,500,19,4,3.8e+10,677,61768,0,3945,0,0,691,0,28748,0,0,0,19,3088385,0,0,0,41
"3","Algeria",0.4724,130000,0,6461,45,20916812,998,6,22,9.7e+09,0,5.574e+09,552,17779290,1e+11,5,0,268,10859000,114,0,201,405000,1260000,1.22e+10,200000,25,12,4.7e+11,3973,697227,135000,104000,334,545,6734,9,2381741,6,5,2196,552,43576691,450,87,58,0
"4","Angola",1.0931,107000,0,1210,15,6728529,1600,0,18,1059270000,0,4.208e+10,299,3364265,1.6995e+10,0,0,117,12510000,54,2,40,130000,1600000,9.523e+09,10000,37,6,2.057e+11,2852,336426,0,26000,118,28,5369,2,1246700,0,0,320,299,33642646,585,61,30,1300
"5","Argentina",0.6091,83000,0,800,0,20180574,4989,9,6,3064800000,4,2.78524e+11,218,17153488,4.5e+10,0,0,85,18000000,202,0,47,806000,490000,2.162e+09,20000,13,10,9e+11,36917,687974,0,281290,26,75,11968,10,2780400,2,2,349,218,45864941,172,70,22,11000
"6","Armenia",2.3169,45000,0,673,20,1686501,0,0,10,632500000,0,1.1637e+10,64,1382329,2.2e+09,0,0,36,1507000,0,0,0,8000,0,0,4300,0,0,4e+10,780,45174,210000,7700,94,38,1570,0,29743,0,0,288,64,3011609,145,10,2,0
"7","Australia",0.2377,59000,0,1765,22,10840189,25760,0,37,4.4618e+10,3,3.115913e+12,430,8878631,6e+10,8,2,133,12568000,581,4,43,1175000,285000,1.821e+09,0,12,29,1.2509e+12,33343,283910,20000,873573,0,0,0,31,7741220,6,6,59,430,25809973,54,113,38,2000
"8","Austria",0.8924,23000,0,542,0,3998189,0,0,0,3.432e+09,0,6.88434e+11,102,3598370,2.2e+10,0,0,63,3739000,0,0,0,268000,13000,41200000,0,0,4,4.651e+11,5800,97734,160000,137039,0,62,2524,0,83871,0,0,56,102,8884864,0,13,11,0
"9","Azerbaijan",1.0251,65000,0,1762,17,5038319,713,0,11,1.7e+09,0,1.741e+10,149,3773598,6.7e+09,1,0,87,4939000,305,7,24,100000,800000,7e+09,15000,13,1,1.4e+11,2944,154234,300000,24981,291,167,2468,0,86600,4,0,510,149,10282283,319,32,2,0
"10","Bahrain",2.3269,10000,0,833,22,824542,161,2,0,1538800000,0,5.215e+10,110,702387,2.349e+09,1,0,51,831600,205,0,48,61000,40000,124600000,3000,44,2,7e+10,0,16796,0,4122,17,38,0,0,760,0,0,180,110,1526929,26,37,3,0
"11","Bangladesh",0.6851,165000,0,837,0,80408421,580,6,0,3890400000,0,5.026e+10,190,64326737,3.342e+10,7,0,66,66640000,468,5,112,106000,3000,2.8e+07,6800000,30,3,8e+11,2460,3117878,0,369105,69,27,4413,2,143998,2,0,320,190,164098818,371,63,13,8370
"12","Belarus",0.8124,45000,0,1510,21,5004176,0,0,67,723120000,0,3.9847e+10,201,3701202,7.315e+09,0,0,62,4381000,4,0,0,141000,30000,1.98e+08,110000,0,1,1.8e+11,5528,103860,290000,86600,238,482,3599,0,207600,0,0,601,201,9441842,228,30,4,2500
"13","Belgium",1.1451,26000,0,854,0,4829325,67,0,0,5513710000,0,1.317513e+12,115,3816345,2.616e+10,2,0,20,4122000,201,5,17,648600,0,0,0,2,8,5.6e+11,3592,117788,7000,118414,0,0,1297,0,30528,0,0,0,115,11778842,0,43,8,2043
"14","Bhutan",35.8958,8000,0,27,0,197207,0,0,0,28908000,0,2.671e+09,2,118324,1.206e+09,0,0,2,397900,0,0,0,3000,0,0,0,0,0,8.42e+09,0,4287,0,12205,0,0,1136,0,38394,0,0,0,2,857423,0,0,0,0
"15","Bolivia",1.5708,50000,0,152,0,5173902,0,0,0,476970000,0,1.281e+10,63,3927462,1.026e+10,0,0,28,5719000,45,0,170,83000,60000,211500000,0,49,5,9.5e+10,3690,223419,0,90568,0,0,7252,0,1098581,0,0,36,63,11758869,40,21,14,10000
"16","Bosnia and Herzegovina",4.0288,9000,0,332,0,2371365,20,0,0,178110000,0,1.087e+10,19,1969763,6.474e+09,0,0,19,806000,0,0,0,32000,0,0,0,0,5,4.8e+10,965,49722,0,22926,143,57,1543,0,51197,0,0,320,19,3824782,679,0,0,0
"17","Botswana",2.6008,9000,0,223,0,987280,0,0,0,473400000,0,2.187e+09,46,592368,7.491e+09,0,0,16,1177000,0,0,0,21000,0,0,0,0,0,3.8e+10,888,23507,0,31747,20,12,4347,0,581730,0,0,45,46,2350667,40,9,10,0
"18","Brazil",0.1695,360000,0,1958,12,108857163,7491,2,77,1.8785e+10,0,6.81336e+11,679,86018503,3.74e+11,6,1,179,86621000,864,5,112,2956000,2600000,1.263e+10,400000,22,17,3.3e+12,29850,3415127,1340000,2000000,78,136,16145,41,8514877,7,2,439,679,213445417,546,210,125,50000
"19","Bulgaria",1.1071,30000,0,594,2,3252015,354,2,6,1105760000,0,3.9059e+10,66,2663884,2.838e+10,4,0,22,3113000,79,12,29,97000,1000,1.5e+07,0,0,2,1.5506e+11,5114,62273,3000,19512,192,506,1806,0,110880,0,0,410,66,6919180,350,20,7,470
"20","Burkina Faso",4.7216,12000,0,265,2,7911584,0,0,3,434250000,0,3.056e+09,18,5623639,4.9e+07,0,0,10,8501000,0,0,0,23000,0,0,250,0,0,4.516e+10,622,342123,0,15304,0,0,3611,0,274200,0,0,0,18,21382659,0,4,1,0
"21","Cambodia",2.3944,100000,0,449,0,8306094,443,0,0,632250000,0,1.187e+10,23,5814266,1.22e+10,0,0,19,8913000,245,0,27,45000,0,0,10000,20,2,7e+10,642,311479,0,47263,97,0,2530,0,181035,0,0,539,23,17304363,200,0,4,3700
"22","Cameroon",2.5771,40000,0,253,0,9698220,400,0,0,3.98e+08,0,9.375e+09,31,5733359,3.235e+09,0,0,17,9912000,94,0,60,45000,70000,2e+08,12000,37,3,9.4e+10,987,456387,0,77589,20,0,5018,2,475440,0,0,0,31,28524175,77,6,6,0
